shipName,shipType,nationality,company
Scipio,Fregat,Dutch,MAR
Reliance,Armed Storeship,British,RN
EL RAYO,NAVO,Spanish,
Hound,Sloop,British,RN
Amsterdam,,Dutch,ADM
Busbridge,,British,EIC
Kemphaan,,Dutch,ADM
Arend,,Dutch,ADM
Amphion,5th rate,British,RN
Nederwaard,,Dutch,
Eolus,,Dutch,
Zeeland,Fregat,Dutch,VOC
SAN DMASO,,Spanish,
Surpize,6th Rate,British,RN
Botland,,Dutch,VOC
Dordregt,Fregat,Dutch,ADM
Vergenoegen,Fregat,Dutch,MCC
Brak,Kotter,Dutch,ADM
Revolutie,,Dutch,MAR
SAN JOSEPH (PODEROSO),NAVO,Spanish,
DESCONOCIDO-13,,Spanish,
Batavia,,Dutch,MAR
Jamaica,,British,RN
Viegelantie,,Dutch,MCC
Sara Lydia,Fregat,Dutch,
Africaensche Galey,,Dutch,MCC
Unknown-02,,Dutch,
DESCONOCIDO-12,DESCONOCIDA,Spanish,
Egmond,,Dutch,
Preston,4th Rate,British,RN
Le Leopard,,French,
George IV,,British,EIC
Cormorant,Sloop,British,RN
Boreas,6th Rate,British,RN
Nymphe,Fregat,British,RN
Amstel,,Dutch,
Chatham,4th Rate,British,RN
LA DIANA,PAQUEBOTE,Spanish,
EL AGUILA,FRAGATA/ CORREO,Spanish,
Schiedam,,Dutch,ADM
SANTO CRISTO DEL CALVARIO,POLACRA,Spanish,
Le Prothe,,French,
Haay,Brik,Dutch,Marine
DESCONOCIDO-20,NAVO,Spanish,
Penelope,5th rate,British,RN
Watergeus,,Dutch,
Walpole,,British,EIC
Straalen,,Dutch,VOC
La Belette,Corvette,French,
Jacobus,,Dutch,
Princes Maria Louisa,,Dutch,ADM
Suffolk,3rd rate,British,RN
Aurora,,British,EIC
Aurora,,British,RN
Panther,4th Rate,British,RN
Algiers,Fregat,Dutch,MAR
Pluto,,Dutch,MAR
DESCONOCIDO-09,PAQUEBOTE,Spanish,
La Nourrice,,French,
Dublin,3rd Rate,British,RN
Unknown-09,,Dutch,
Celebes,Bark,Dutch,
Weazle,Sloop,British,RN
LA MASCANIN y LA CASTRIES,FRAGATA,Spanish,
SANTA CLARA,FRAGATA,Spanish,
Melampus,,Dutch,ADM
Nymphe,Fregat,French,MAR
CORTES,Fragata correo,Spanish,
Margaretha en Maria,,Dutch,
DESCONOCIDO-07,NAVIO,Spanish,
GRANIZO,PAQUEBOTE,Spanish,
Constellation,Brik,American,
Euphrates,,British,EIC
Le Serin,,French,
Le Vaillans,,French,
Prins Frederik,,Dutch,ADM
Rotterdams Welvaren,,Dutch,MAR
La Gironde,,French,
Postillon,Brik,Dutch,MAR
Lactionnaire,,French,
Norwich,5th Rate,British,RN
Prins Van Oranje,Fregat,Dutch,Marine
Jacoba Maurina,Bark,Dutch,
Rupel,Fregat,Dutch,ADM
Walmer Castle,,British,EIC
Spartiate,3rd rate,British,RN
La Terpsicore,,French,
Quebec,5th rate,British,RN
Buitenzorg,,Dutch,MER
DESCONOCIDO-04,NAVIO,Spanish,
Twee Cornelissen,,Dutch,MER
Salisbury,,British,RN
Lisis,,French,
Henriette Clasina,,Dutch,
Salisbury,,British,EIC
